#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.07500004768371582031 0.10000000149011611938 1.62500000000000000000 116.00000000000000000000 0.39129832386970520020 0.02037861943244934082 1.00002527236938476562 -1.19870412349700927734 0.83823227882385253906 0.41421920061111450195 -1.27525651454925537109 0.83275830745697021484
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.73333334922790527344 0.10000000149011611938 1.62500000000000000000 116.00000000000000000000 0.51746618747711181641 0.02093129605054855347 1.00002539157867431641 -1.59560346603393554688 0.75516754388809204102 0.54297405481338500977 -1.67164754867553710938 0.74776303768157958984
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
3.39166665077209472656 0.10000000149011611938 1.62500000000000000000 116.00000000000000000000 0.63957661390304565430 0.02155777439475059509 1.00002408027648925781 -1.98502683639526367188 0.64558029174804687500 0.66885727643966674805 -2.05918097496032714844 0.63600069284439086914
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
4.05000019073486328125 0.10000000149011611938 1.62500000000000000000 116.00000000000000000000 0.75534152984619140625 0.02185386978089809418 1.00002479553222656250 -2.36348319053649902344 0.50566095113754272461 0.78984385728836059570 -2.43163537979125976562 0.49349749088287353516
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
4.70833349227905273438 0.10000000149011611938 1.62500000000000000000 116.00000000000000000000 0.86181282997131347656 0.01939081400632858276 1.00002360343933105469 -2.72763752937316894531 0.32750236988067626953 0.90135240554809570312 -2.77497148513793945312 0.31200167536735534668
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.36666679382324218750 0.10000000149011611938 1.62500000000000000000 116.00000000000000000000 0.97178059816360473633 -0.00344330980442464352 1.00002372264862060547 -3.05710411071777343750 0.08882612735033035278 0.98169028759002685547 -3.02229714393615722656 0.06703262776136398315
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.02500009536743164062 0.10000000149011611938 1.62500000000000000000 116.00000000000000000000 0.86765229701995849609 -0.04106568917632102966 1.00002300739288330078 -2.43766021728515625000 -0.19257679581642150879 0.76815366744995117188 -2.36488604545593261719 -0.19578945636749267578
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.68333339691162109375 0.10000000149011611938 1.62500000000000000000 116.00000000000000000000 0.47667095065116882324 -0.01377449557185173035 1.00002455711364746094 -1.43127262592315673828 -0.16325968503952026367 0.45174881815910339355 -1.39078271389007568359 -0.15150456130504608154
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
7.34166669845581054688 0.10000000149011611938 1.62500000000000000000 116.00000000000000000000 0.37017881870269775391 -0.00567746115848422050 1.00002491474151611328 -1.13224637508392333984 -0.10679826885461807251 0.36161413788795471191 -1.11328291893005371094 -0.10132906585931777954
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.00000000000000000000 0.10000000149011611938 1.62500000000000000000 116.00000000000000000000 0.31616082787513732910 -0.00354325957596302032 1.00002586841583251953 -0.96881967782974243164 -0.07926858961582183838 0.31091269850730895996 -0.95719486474990844727 -0.07613383233547210693
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.10000000149011611938 0.10000000149011611938 2.00000000000000000000 116.00000000000000000000 0.01413920428603887558 0.02708150632679462433 1.00002777576446533203 -0.13456328213214874268 0.94468909502029418945 0.02007834054529666901 -0.06180350854992866516 0.94474846124649047852
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.75833332538604736328 0.10000000149011611938 2.00000000000000000000 116.00000000000000000000 0.14690352976322174072 0.02723765373229980469 1.00002670288085937500 -0.54159885644912719727 0.92873603105545043945 0.15214990079402923584 -0.46840918064117431641 0.93017315864562988281
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
