#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.50021231174468994141 0.01236101146787405014 0.42556005716323852539 -7.91267633438110351562 -0.60097348690032958984 1.46566009521484375000 -0.82087081670761108398 0.32934892177581787109 0.32338371534180054834 0.35348996520042419434 0.01236101146787405014
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.43963813781738281250 0.01229047123342752457 0.38567915558815002441 -8.36124610900878906250 -0.57733643054962158203 1.46886086463928222656 -0.84975755214691162109 0.31209105253219604492 0.27582090949170084970 0.36358863115310668945 0.01229047123342752457
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.38690924644470214844 0.01221090648323297501 0.34871730208396911621 -8.77186107635498046875 -0.55346643924713134766 1.47112619876861572266 -0.87832438945770263672 0.29529184103012084961 0.23519627714644270045 0.37368729710578918457 0.01221090648323297501
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.34143480658531188965 0.01212319079786539078 0.31451946496963500977 -9.14700508117675781250 -0.52967983484268188477 1.47253406047821044922 -0.90655386447906494141 0.27894943952560424805 0.20076858385930976270 0.38378596305847167969 0.01212319079786539078
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.30261433124542236328 0.01202814001590013504 0.28293192386627197266 -9.48910331726074218750 -0.50623613595962524414 1.47315776348114013672 -0.93443095684051513672 0.26306062936782836914 0.17181914454914470891 0.39388462901115417480 0.01202814001590013504
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.26985630393028259277 0.01192650943994522095 0.25380870699882507324 -9.80045890808105468750 -0.48334708809852600098 1.47306632995605468750 -0.96194303035736083984 0.24762049317359924316 0.14766583587611814554 0.40398329496383666992 0.01192650943994522095
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.24259518086910247803 0.01181900035589933395 0.22700153291225433350 -10.08329105377197265625 -0.46118429303169250488 1.47232449054718017578 -0.98907935619354248047 0.23262317478656768799 0.12767410954380961630 0.41408196091651916504 0.01181900035589933395
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.22027988731861114502 0.01170626189559698105 0.20237229764461517334 -10.33968639373779296875 -0.43987664580345153809 1.47099268436431884766 -1.01583123207092285156 0.21806152164936065674 0.11125104003636873684 0.42418062686920166016 0.01170626189559698105
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.20239624381065368652 0.01158888451755046844 0.17978635430335998535 -10.57161998748779296875 -0.41952708363533020020 1.46912753582000732422 -1.04219174385070800781 0.20392775535583496094 0.09785715077105966442 0.43427929282188415527 0.01158888451755046844
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.18846546113491058350 0.01146742049604654312 0.15911474823951721191 -10.78091716766357421875 -0.40020611882209777832 1.46678149700164794922 -1.06815564632415771484 0.19021332263946533203 0.08700409169644664209 0.44437795877456665039 0.01146742049604654312
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.17803196609020233154 0.01134236995130777359 0.14023128151893615723 -10.96935462951660156250 -0.38196611404418945312 1.46400368213653564453 -1.09371876716613769531 0.17690920829772949219 0.07824733763614331872 0.45447662472724914551 0.01134236995130777359
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.17068563401699066162 0.01121419016271829605 0.12302866578102111816 -11.13846206665039062500 -0.36483174562454223633 1.46083950996398925781 -1.11887872219085693359 0.16400581598281860352 0.07119482475875753280 0.46457529067993164062 0.01121419016271829605
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
