#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.41633699019250380857 0.00201599359952522829 0.99999999999966759923 -2.14636807069480939347 -0.37489432772593367371 1.47255579371913936093 -1.03662992313509905173 0.21127777418744667082 -0.83804967213956771399 0.43214999999996056568
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.39313912555435548413 0.00187059303575853614 0.99999999999966193709 -2.18255872911921500190 -0.38441271720208108897 1.47074829112580851564 -1.06267777715016920048 0.19773832687954964737 -0.88077959598867339164 0.44219999999995945883
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.37074085936626866022 0.00172733080060619225 0.99999999999965538677 -2.21745168864697905775 -0.39308392511249190537 1.46852347322889964509 -1.08834320696187969446 0.18460802981166049563 -0.91989111634605758017 0.45224999999995835198
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.34917672565457036349 0.00158644881879198719 0.99999999999965161201 -2.25109349256673274553 -0.40096320681069308467 1.46592669278597687033 -1.11362395932633728712 0.17187740925466829522 -0.95547578127423393735 0.46229999999995724513
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.32847229372523045754 0.00144815822143127388 0.99999999999964339636 -2.28353144716534783853 -0.40810265703139320115 1.46299998588363688867 -1.13851897934297352499 0.15953668969181042381 -0.98763001757173296546 0.47234999999995613829
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
